,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
punta arenas,Punta Arenas,20,CL,1552009508,75,-53.16,-70.91,7,8.2
bredasdorp,Bredasdorp,92,ZA,1552009543,82,-34.53,20.04,16,1
bathsheba,Bathsheba,75,BB,1552006800,78,13.22,-59.52,26,10.3
rikitea,Rikitea,80,PF,1552009847,96,-23.12,-134.97,27.47,7.41
hobart,Hobart,40,AU,1552009493,34,-42.88,147.33,21.67,5.7
arraial do cabo,Arraial do Cabo,12,BR,1552009672,87,-22.97,-42.02,27.27,7.01
castro,Castro,40,CL,1552006800,87,-42.48,-73.76,7,1
the valley,The Valley,20,AI,1552009606,73,18.22,-63.06,25,4.6
karari,Karari,0,SD,1552008600,17,15.79,32.53,19,3.6
chokurdakh,Chokurdakh,36,RU,1552009848,74,70.62,147.9,-24.16,1.61
tiksi,Tiksi,88,RU,1552009848,67,71.64,128.87,-16.66,4.81
atuona,Atuona,56,PF,1552009677,98,-9.8,-139.03,28.35,7.21
thompson,Thompson,75,CA,1552006800,44,55.74,-97.86,-7,3.1
tuatapere,Tuatapere,8,NZ,1552009809,48,-46.13,167.69,17.22,1.79
salym,Salym,64,RU,1552009849,65,60.06,71.48,-7.53,5.71
new norfolk,New Norfolk,40,AU,1552009641,34,-42.78,147.06,21.67,5.7
kamenka,Kamenka,64,RU,1552009849,82,53.19,44.05,-10.51,6.11
hauterive,Hauterive,90,FR,1552009620,65,46.09,3.45,8,1.5
kavieng,Kavieng,80,PG,1552009850,100,-2.57,150.8,27.35,0.86
ushuaia,Ushuaia,40,AR,1552006800,80,-54.81,-68.31,5,10.8
geraldton,Geraldton,20,CA,1552006800,47,49.72,-86.95,-10,4.1
mataura,Mataura,0,NZ,1552009207,46,-46.19,168.86,18.89,0.45
sagua la grande,Sagua la Grande,0,CU,1552006380,72,22.81,-80.07,20,2.6
albany,Albany,20,US,1552009739,44,42.65,-73.75,-7,3.6
busselton,Busselton,44,AU,1552009816,46,-33.64,115.35,24.44,3.81
saldanha,Saldanha,8,PT,1552009851,87,41.42,-6.55,1.47,1.81
alice springs,Alice Springs,0,AU,1552006800,21,-23.7,133.88,31,4.6
veraval,Veraval,88,FR,1552009800,87,49.65,0.71,8,5.7
ilulissat,Ilulissat,12,GL,1552006200,42,69.22,-51.1,-2,14.4
saint-augustin,Saint-Augustin,75,FR,1552009689,93,44.83,-0.61,9.44,1
honiara,Honiara,76,SB,1552009852,89,-9.43,159.96,26.55,1.31
barrow,Barrow,0,AR,1552009645,63,-38.31,-60.23,16.75,6.56
egvekinot,Egvekinot,24,RU,1552009738,84,66.32,-179.17,-13.41,1.81
boyolangu,Boyolangu,64,ID,1552009853,83,-8.09,111.9,25.6,4.66
nadym,Nadym,76,RU,1552009853,84,65.53,72.51,-12.86,8.26
kajaani,Kajaani,90,FI,1552006200,92,64.22,27.73,-4,3.6
hilo,Hilo,90,US,1552009834,78,19.71,-155.08,23.89,4.1
kruisfontein,Kruisfontein,100,ZA,1552009853,100,-34,24.73,18.2,6.61
souillac,Souillac,75,FR,1552009689,93,45.6,-0.6,9.44,1.5
butaritari,Butaritari,76,KI,1552009638,100,3.07,172.79,27.65,4.36
avarua,Avarua,80,CK,1552006800,66,-21.21,-159.78,30,5.7
victoria,Victoria,75,BN,1552006800,94,5.28,115.24,27,0.5
lompoc,Lompoc,90,US,1552009839,76,34.64,-120.46,13,2.6
norman wells,Norman Wells,75,CA,1552006800,57,65.28,-126.83,-7,3.6
east london,East London,92,ZA,1552009632,100,-33.02,27.91,21.77,5.36
panaba,Panaba,0,MX,1552009855,47,21.28,-88.27,24.4,3.76
ayan,Ayan,0,TR,1552009855,68,40.67,33.6,-8.98,0.76
puerto ayora,Puerto Ayora,0,EC,1552009638,99,-0.74,-90.35,26,5.66
makaha,Makaha,40,US,1552009606,60,21.47,-158.22,27,8.2
santana do mundau,Santana do Mundau,40,BR,1552006800,74,-9.17,-36.22,27,2.1
longyearbyen,Longyearbyen,0,NO,1552008000,64,78.22,15.63,-18,2.1
jamestown,Jamestown,32,AU,1552009662,33,-33.21,138.6,26.3,3.16
qaanaaq,Qaanaaq,0,GL,1552009632,73,77.48,-69.36,-24.38,2.21
grindavik,Grindavik,20,IS,1552009156,79,63.84,-22.43,-2,3.1
moron,Moron,88,VE,1552009857,93,10.49,-68.2,20.45,1.51
flinders,Flinders,0,AU,1552009628,42,-34.58,150.85,29.44,2.6
sokoni,Sokoni,92,CD,1552009857,97,-12.89,28.78,17.45,1.56
lagoa,Lagoa,40,PT,1552009627,87,37.14,-8.45,11,2.1
lebu,Lebu,76,ET,1552009858,89,8.96,38.73,9.47,0.66
bilma,Bilma,0,NE,1552009858,23,18.69,12.92,9.9,1.31
piacabucu,Piacabucu,64,BR,1552009858,78,-10.41,-36.43,26.1,2.26
dunedin,Dunedin,0,NZ,1552009585,50,-45.87,170.5,16.67,4.92
luderitz,Luderitz,0,NA,1552009671,81,-26.65,15.16,16.8,10.61
keflavik,Keflavik,20,IS,1552009156,79,64,-22.56,-2,3.1
gravdal,Gravdal,92,NO,1552009808,100,59.79,5.78,4,18.5
bluff,Bluff,44,AU,1552009651,46,-23.58,149.07,32.15,7.16
gimbi,Gimbi,44,ET,1552009859,96,8.81,37.79,10.5,1.51
cape town,Cape Town,0,ZA,1552009652,67,-33.93,18.42,16.11,8.7
sijunjung,Sijunjung,76,ID,1552009860,91,-0.69,100.95,23.87,0.16
faya,Faya,0,SA,1552006800,87,18.39,42.45,13,4.1
conakry,Conakry,0,GN,1552006800,88,9.52,-13.7,26,1
haimen,Haimen,0,CN,1552009838,66,31.87,121.18,18.89,4.81
baruun-urt,Baruun-Urt,48,MN,1552009861,37,46.68,113.28,2.47,3.31
tuktoyaktuk,Tuktoyaktuk,90,CA,1552006800,92,69.44,-133.03,-6,5.1
muisne,Muisne,92,EC,1552009861,96,0.61,-80.02,23.27,1.31
hobyo,Hobyo,92,SO,1552009861,89,5.35,48.53,25.22,6.16
buin,Buin,0,CL,1552006800,53,-33.73,-70.74,22,7.2
cabo san lucas,Cabo San Lucas,20,MX,1552009612,12,22.89,-109.91,27,5.1
clyde river,Clyde River,40,CA,1552006800,83,70.47,-68.59,-21,8.7
panacan,Panacan,40,PH,1552006800,62,7.15,125.66,29,4.6
salalah,Salalah,0,OM,1552006200,13,17.01,54.1,27,4.1
kapaa,Kapaa,75,US,1552009698,69,22.08,-159.32,26,10.8
mailsi,Mailsi,92,PK,1552009862,80,29.8,72.18,13.97,3.01
chuy,Chuy,48,UY,1552009863,94,-33.69,-53.46,23.65,3.66
calbuco,Calbuco,0,CL,1552006800,76,-41.77,-73.13,9,2.6
torbay,Torbay,90,CA,1552009700,85,47.66,-52.73,-10,9.3
dzepciste,Dzepciste,0,MK,1552008600,45,42.03,21,9,3.1
alofi,Alofi,75,NU,1552006800,66,-19.06,-169.92,30,6.7
gombong,Gombong,64,ID,1552009864,71,-7.19,109.31,27.75,1.36
anloga,Anloga,20,GH,1552006800,88,5.79,0.9,27,1.5
saint george,Saint George,0,GR,1552009411,100,39.45,22.34,11.67,0.46
klaksvik,Klaksvik,56,FO,1552008000,74,62.23,-6.59,-1,5.91
cayenne,Cayenne,20,GF,1552006800,78,4.94,-52.33,26,2.1
faanui,Faanui,76,PF,1552009865,95,-16.48,-151.75,29.7,8.06
nikolskoye,Nikolskoye,90,RU,1552009835,92,59.7,30.79,1.11,4
vaini,Vaini,0,IN,1552006800,54,15.34,74.49,15,1.96
severo-kurilsk,Severo-Kurilsk,24,RU,1552009865,100,50.68,156.12,-2.36,5.11
petropavlovka,Petropavlovka,44,RU,1552009866,44,50.61,105.32,-2.66,2.66
laguna,Laguna,90,MX,1552005600,44,27.52,-110.01,24,0.96
vangaindrano,Vangaindrano,92,MG,1552009866,94,-23.35,47.6,20.22,1.11
cherskiy,Cherskiy,44,RU,1552009866,68,68.75,161.3,-16.76,0.61
port alfred,Port Alfred,100,ZA,1552009767,95,-33.59,26.89,18.33,2.68
iqaluit,Iqaluit,90,CA,1552006800,76,63.75,-68.52,-23,13.9
georgetown,Georgetown,20,GY,1552006800,78,6.8,-58.16,27,7.2
pisco,Pisco,0,PE,1552006800,83,-13.71,-76.2,23,6.7
tilichiki,Tilichiki,8,RU,1552009671,84,60.47,166.1,-7.21,1.96
zetaquira,Zetaquira,80,CO,1552009867,98,5.28,-73.17,12.7,0.71
husavik,Husavik,20,CA,1552009806,81,50.56,-96.99,-14.44,3.13
namibe,Namibe,68,AO,1552009714,100,-15.19,12.15,25.47,2.66
shingu,Shingu,20,JP,1552006800,42,33.72,135.99,9,7.7
mingaora,Mingaora,36,PK,1552009868,58,34.78,72.36,1.4,1.06
saint anthony,Saint Anthony,1,US,1552006560,64,43.97,-111.68,5,8.7
comodoro rivadavia,Comodoro Rivadavia,0,AR,1552006800,47,-45.87,-67.48,14,4.1
bambous virieux,Bambous Virieux,20,MU,1552009743,88,-20.34,57.76,24,1.5
hithadhoo,Hithadhoo,0,MV,1552009648,100,-0.6,73.08,28.1,2.01
lukovetskiy,Lukovetskiy,20,RU,1552006800,84,64.29,41.92,-15,2
noumea,Noumea,90,NC,1552006800,88,-22.28,166.46,27,2.1
bethel,Bethel,90,US,1552006560,69,60.79,-161.76,3,6.2
pita,Pita,0,GN,1552009870,83,11.06,-12.4,17.9,0.91
port-gentil,Port-Gentil,80,GA,1552009870,100,-0.72,8.78,26.52,1.96
seymchan,Seymchan,8,RU,1552009870,73,62.93,152.39,-16.56,1.61
huarmey,Huarmey,56,PE,1552009870,76,-10.07,-78.15,20.15,1.31
razdolnoye,Razdolnoye,76,RU,1552009871,97,43.7,44.53,3.9,1.06
staraya vichuga,Staraya Vichuga,92,RU,1552009871,85,57.27,41.88,-6.41,7.71
kutum,Kutum,0,SD,1552009871,31,14.2,24.66,12.27,4.11
hambantota,Hambantota,20,LK,1552007400,100,6.12,81.12,24,1.76
esperance,Esperance,20,TT,1552009808,83,10.24,-61.45,26.67,3.1
nanortalik,Nanortalik,56,GL,1552009872,91,60.14,-45.24,-0.46,11.86
airai,Airai,92,TL,1552009872,97,-8.93,125.41,21,0.96
magnolia,Magnolia,90,US,1552009608,67,33.27,-93.24,15.56,2.6
carnarvon,Carnarvon,0,ZA,1552009873,69,-30.97,22.13,14.65,6.91
upernavik,Upernavik,24,GL,1552009873,100,72.79,-56.15,-12.81,6.31
rudnya,Rudnya,24,RU,1552009873,59,50.8,44.56,-14.88,3.46
linxia,Linxia,88,CN,1552009873,78,35.6,103.21,-2.71,1.51
nordby,Nordby,92,DK,1552009804,100,55.45,8.41,6.67,5.1
biak,Biak,48,ID,1552009874,86,-0.91,122.88,28.2,2.86
emerald,Emerald,75,AU,1552009353,51,-23.53,148.16,30.56,6.2
hede,Hede,90,SE,1552009533,93,60.45,15.49,3.33,3.1
druzhba,Druzhba,20,UA,1552009684,57,49.36,25.65,8.89,3.13
aswan,Aswan,0,EG,1552009875,84,24.09,32.9,9.27,3.56
mogadishu,Mogadishu,92,SO,1552009875,100,2.04,45.34,26.95,7.26
kirakira,Kirakira,44,SB,1552009875,100,-10.46,161.92,26.52,2.86
san vicente,San Vicente,20,SV,1552009832,52,13.64,-88.78,31,2.6
tezu,Tezu,100,IN,1552009876,100,27.93,96.16,8.7,0.46
dumas,Dumas,0,IN,1552006800,82,21.09,72.71,20,1
enid,Enid,1,US,1552009714,76,36.4,-97.88,7.22,2.1
yar-sale,Yar-Sale,64,RU,1552009877,81,66.83,70.83,-14.61,5.26
saint-philippe,Saint-Philippe,1,CA,1552009806,60,45.36,-73.48,-10,2.1
ginir,Ginir,20,ET,1552009877,69,7.14,40.71,14.7,1.31
beringovskiy,Beringovskiy,88,RU,1552009677,95,63.05,179.32,-4.11,11.41
fairbanks,Fairbanks,90,US,1552009706,64,64.84,-147.72,1.11,4.11
vardo,Vardo,1,US,1552009578,46,39.62,-77.74,1,1.5
tabou,Tabou,24,CI,1552009878,100,4.42,-7.36,27.7,4.06
guerrero negro,Guerrero Negro,88,MX,1552009878,92,27.97,-114.04,15.3,3.21
patnanungan,Patnanungan,0,PH,1552009878,100,14.78,122.18,26.25,4.21
caravelas,Caravelas,20,BR,1552009878,100,-17.73,-39.27,28.87,2.86
pevek,Pevek,44,RU,1552009878,86,69.7,170.27,-16.51,1.16
murwara,Murwara,0,IN,1552009879,40,23.85,80.4,20.72,1.76
katsuura,Katsuura,40,JP,1552008283,39,33.93,134.5,9,7.7
byron bay,Byron Bay,90,AU,1552009677,78,-28.65,153.62,26,6.2
ostrovnoy,Ostrovnoy,0,RU,1552009879,79,68.05,39.51,-14.66,6.06
mount gambier,Mount Gambier,90,AU,1552006800,42,-37.83,140.78,20,1.5
port lincoln,Port Lincoln,36,AU,1552009880,74,-34.72,135.86,22.2,1.86
les cayes,Les Cayes,44,HT,1552009880,100,18.19,-73.75,24.65,2.01
broken hill,Broken Hill,0,AU,1552006800,10,-31.97,141.45,26,2.1
hermanus,Hermanus,80,ZA,1552009584,95,-34.42,19.24,15.56,2.26
yellowknife,Yellowknife,20,CA,1552009486,77,62.45,-114.38,-12.78,3.1
matay,Matay,0,EG,1552009880,92,28.42,30.79,8.62,4.26
panzhihua,Panzhihua,0,CN,1552009729,52,26.59,101.72,16.11,2.51
harper,Harper,1,US,1552009725,77,30.3,-99.24,16.11,2.1
lubango,Lubango,48,AO,1552009881,93,-14.92,13.49,16.5,1.06
pangnirtung,Pangnirtung,8,CA,1552009724,62,66.15,-65.72,-17.81,2.26
kibala,Kibala,0,TD,1552006800,57,9.11,18.35,27,1.21
atar,Atar,0,MR,1552009778,43,20.52,-13.05,14.87,4.51
ponta do sol,Ponta do Sol,64,BR,1552009882,94,-20.63,-46,18.4,1.06
hovd,Hovd,90,NO,1552009816,92,63.83,10.7,-1.67,1.41
staryy nadym,Staryy Nadym,76,RU,1552009882,84,65.61,72.68,-12.86,8.26
asha,Asha,0,RU,1552009882,87,54.99,57.29,-14.36,2.26
santiago del estero,Santiago del Estero,24,AR,1552009758,90,-27.8,-64.26,25.55,1.36
provideniya,Provideniya,68,RU,1552009709,100,64.42,-173.23,-4.01,12.31
lujiang,Lujiang,0,CN,1552006800,59,31.26,117.28,7,5
leningradskiy,Leningradskiy,32,RU,1552009748,82,69.38,178.42,-15.88,6.81
ramhormoz,Ramhormoz,0,IR,1552006800,66,31.28,49.6,11,2.1
luena,Luena,68,AO,1552009884,94,-11.78,19.91,17,1.06
san patricio,San Patricio,8,PY,1552009669,83,-26.98,-56.83,26,2.56
half moon bay,Half Moon Bay,75,US,1552009850,66,37.46,-122.43,11.11,3.6
esso,Esso,76,RU,1552009884,86,55.93,158.7,-7.13,1.31
kroya,Kroya,20,ID,1552009884,70,-6.5,108.06,30.2,0.76
hasaki,Hasaki,20,JP,1552009775,42,35.73,140.83,11.11,6.2
te anau,Te Anau,0,NZ,1552009885,52,-45.41,167.72,15.87,1.51
khatanga,Khatanga,68,RU,1552009885,72,71.98,102.47,-19.38,1.31
sao filipe,Sao Filipe,0,CV,1552009725,95,14.9,-24.5,21.27,8.26
kosa,Kosa,76,RU,1552009885,79,59.94,54.99,-7.73,5.86
meulaboh,Meulaboh,12,ID,1552009885,100,4.14,96.13,27.72,1.56
toamasina,Toamasina,40,MG,1552006800,94,-18.17,49.38,24,0.96
cidreira,Cidreira,12,BR,1552009677,93,-30.17,-50.22,22.72,2.01
port elizabeth,Port Elizabeth,1,US,1552009609,68,39.31,-74.98,0.56,2.06
petropavlovsk-kamchatskiy,Petropavlovsk-Kamchatskiy,90,RU,1552006800,86,53.05,158.65,-3,1
constitucion,Constitucion,75,MX,1552005840,7,23.99,-104.67,24,6.2
enshi,Enshi,92,CN,1552009887,83,30.29,109.48,3.6,1.51
havelock,Havelock,1,US,1552009883,70,34.88,-76.9,7,1.5
san quintin,San Quintin,0,PH,1552009887,50,17.54,120.52,29.77,1.61
noyabrsk,Noyabrsk,68,RU,1552009887,85,63.2,75.45,-10.28,12.56
soure,Soure,75,PT,1552009849,87,40.06,-8.63,13,5.7
fortuna,Fortuna,0,ES,1552009885,46,38.18,-1.13,10.56,0.5
sitka,Sitka,92,US,1552009641,76,37.17,-99.65,2.78,1.34
sigiriya,Sigiriya,0,LK,1552009888,90,7.95,80.75,25.25,1.86
pinsk,Pinsk,36,BY,1552009888,85,52.11,26.1,9.02,5.16
dikson,Dikson,56,RU,1552009889,88,73.51,80.55,-13.51,2.41
cockburn town,Cockburn Town,76,TC,1552009889,100,21.46,-71.14,23.45,9.26
suntar,Suntar,64,RU,1552009889,55,62.16,117.65,-8.71,3.36
koungheul,Koungheul,0,SN,1552009889,24,13.98,-14.8,20.3,5.21
vila velha,Vila Velha,75,BR,1552009689,88,-3.71,-38.6,26.67,2.26
shache,Shache,12,CN,1552009890,53,38.42,77.24,0.02,2.31
nkhotakota,Nkhotakota,68,MW,1552009890,100,-12.93,34.3,20.87,1.81
nhulunbuy,Nhulunbuy,40,AU,1552006800,62,-12.18,136.78,31,3.1
kurilsk,Kurilsk,48,RU,1552009890,100,45.23,147.88,-4.71,6.31
san carlos de bariloche,San Carlos de Bariloche,0,AR,1552006800,61,-41.13,-71.31,8,2.6
mar del plata,Mar del Plata,0,AR,1552009617,88,-46.43,-67.52,7.7,1.16
marsaxlokk,Marsaxlokk,0,MT,1552009827,82,35.84,14.54,15,4.6
bombay,Bombay,75,US,1552009804,51,44.94,-74.57,-8.89,5.7
okmulgee,Okmulgee,1,US,1552009803,93,35.62,-95.96,12,2.6
north bend,North Bend,90,US,1552009835,87,43.41,-124.22,6.67,5.1
martapura,Martapura,68,ID,1552006800,88,-3.41,114.85,26,2.6
ahipara,Ahipara,0,NZ,1552009858,100,-35.17,173.16,17.22,1.31
makakilo city,Makakilo City,90,US,1552009606,50,21.35,-158.09,27,5.7
douentza,Douentza,0,ML,1552009892,56,15.01,-2.95,12.35,1.16
hamilton,Hamilton,40,BM,1552009533,54,32.3,-64.78,15,6.2
ban chang,Ban Chang,20,TH,1552009503,74,12.72,101.05,31.67,3.6
stepnogorsk,Stepnogorsk,76,KZ,1552009893,91,52.35,71.88,-2.61,3.16
golden,Golden,88,CA,1552009526,85,51.3,-116.96,-13.89,12.52
sisimiut,Sisimiut,0,GL,1552009759,54,66.94,-53.67,-18.63,1.66
jacqueville,,,,,,,,,
lalpur,Lalpur,0,BD,1552009894,63,24.18,88.96,22.8,2.01
sao caetano de odivelas,Sao Caetano de Odivelas,64,BR,1552009894,100,-0.75,-48.02,25.87,3.36
carnduff,Carnduff,64,CA,1552009724,86,49.17,-101.8,-11.11,5.81
tynda,Tynda,68,RU,1552009894,54,55.15,124.74,-6.16,4.06
buritizeiro,Buritizeiro,0,BR,1552009894,92,-17.37,-44.96,21.52,2.51
jalu,Jalu,0,LY,1552009894,71,29.03,21.55,7.72,1.36
verkhnyaya inta,Verkhnyaya Inta,68,RU,1552009895,65,65.99,60.32,-9.78,4.51
budogoshch,Budogoshch,88,RU,1552009895,96,59.29,32.45,3.27,4.46
zhigansk,Zhigansk,64,RU,1552009895,65,66.77,123.37,-11.81,1.66
catalina,Catalina,12,CO,1552009895,83,8.86,-75.38,26,3.81
kahului,Kahului,40,US,1552009572,54,20.89,-156.47,26,8.2
saint-pierre,Saint-Pierre,40,FR,1552009624,93,48.95,4.24,7,6.2
bani walid,Bani Walid,0,LY,1552009896,51,31.76,14,4.77,2.41
aktau,Aktau,75,KZ,1552006800,93,43.65,51.16,5,9
moerai,Moerai,80,PF,1552009899,100,-22.43,-151.33,26.95,9.96
clonakilty,Clonakilty,20,IE,1552006800,80,51.62,-8.87,4,3.1
karratha,Karratha,24,AU,1552009900,31,-20.74,116.85,36.4,2.06
lakatoro,Lakatoro,44,VU,1552009900,97,-16.11,167.42,27.97,1.56
pogar,Pogar,44,RU,1552009900,86,52.55,33.26,4.27,8.76
karaton,Karaton,40,ID,1552009509,78,-6.34,106.1,27,2.1
zhadovka,Zhadovka,24,RU,1552009901,77,53.57,46.95,-11.81,4.26
christchurch,Christchurch,92,NZ,1552009885,93,-43.53,172.64,13.33,4.1
hailar,Hailar,32,CN,1552009704,32,49.2,119.7,2.85,4.76
glens falls,Glens Falls,1,US,1552009837,40,43.31,-73.64,-7,2.1
pangai,Pangai,75,TO,1552006800,74,-19.8,-174.35,28,4.6
kambove,Kambove,56,CD,1552009902,98,-10.88,26.6,15.27,1.11
ullapool,Ullapool,88,GB,1552009806,85,57.9,-5.16,1.11,0.45
novopokrovka,Novopokrovka,0,RU,1552009902,38,45.85,134.51,5.62,2.41
balabac,Balabac,12,PH,1552009903,98,7.99,117.06,27.75,3.16
kabalo,Kabalo,92,CD,1552009903,100,-6.05,26.92,20.1,3.36
aguimes,Aguimes,40,ES,1552009836,72,27.91,-15.45,17,7.2
puerto quijarro,Puerto Quijarro,8,BO,1552009903,64,-19,-57.72,28.35,1.96
tasiilaq,Tasiilaq,36,GL,1552006200,52,65.61,-37.64,-8,4.1
barberton,Barberton,1,US,1552009635,67,41.01,-81.61,-3.33,2.11
tevaitoa,Tevaitoa,92,PF,1552009904,94,-16.78,-151.5,29.7,7.96
marsh harbour,Marsh Harbour,24,BS,1552009904,100,26.54,-77.06,21.3,7.61
kaitangata,Kaitangata,0,NZ,1552009800,57,-46.28,169.85,15.56,3.58
coahuayana,Coahuayana,0,MX,1552009904,60,18.62,-100.35,20.15,0.96
puerto escondido,Puerto Escondido,40,MX,1552005600,70,15.86,-97.07,29,2.76
vanimo,Vanimo,20,PG,1552009698,100,-2.67,141.3,27.97,0.96
